012004;1;1;2004
012005;1;1;2005
012006;1;1;2006
012007;1;1;2007
012008;1;1;2008
012009;1;1;2009
012010;1;1;2010
012011;1;1;2011
012012;1;1;2012
012013;1;1;2013
012014;1;1;2014
012015;1;1;2015
012016;1;1;2016
012017;1;1;2017
012018;1;1;2018
012019;1;1;2019
012020;1;1;2020
022004;2;1;2004
022005;2;1;2005
022006;2;1;2006
022007;2;1;2007
022008;2;1;2008
022009;2;1;2009
022010;2;1;2010
022011;2;1;2011
022012;2;1;2012
022013;2;1;2013
022014;2;1;2014
022015;2;1;2015
022016;2;1;2016
022017;2;1;2017
022018;2;1;2018
022019;2;1;2019
022020;2;1;2020
032004;3;1;2004
032005;3;1;2005
032006;3;1;2006
032007;3;1;2007
032008;3;1;2008
032009;3;1;2009
032010;3;1;2010
032011;3;1;2011
032012;3;1;2012
032013;3;1;2013
032014;3;1;2014
032015;3;1;2015
032016;3;1;2016
032017;3;1;2017
032018;3;1;2018
032019;3;1;2019
032020;3;1;2020
042004;4;2;2004
042005;4;2;2005
042006;4;2;2006
042007;4;2;2007
042008;4;2;2008
042009;4;2;2009
042010;4;2;2010
042011;4;2;2011
042012;4;2;2012
042013;4;2;2013
042014;4;2;2014
042015;4;2;2015
042016;4;2;2016
042017;4;2;2017
042018;4;2;2018
042019;4;2;2019
042020;4;2;2020
052004;5;2;2004
052005;5;2;2005
052006;5;2;2006
052007;5;2;2007
052008;5;2;2008
052009;5;2;2009
052010;5;2;2010
052011;5;2;2011
052012;5;2;2012
052013;5;2;2013
052014;5;2;2014
052015;5;2;2015
052016;5;2;2016
052017;5;2;2017
052018;5;2;2018
052019;5;2;2019
052020;5;2;2020
062004;6;2;2004
062005;6;2;2005
062006;6;2;2006
062007;6;2;2007
062008;6;2;2008
062009;6;2;2009
062010;6;2;2010
062011;6;2;2011
062012;6;2;2012
062013;6;2;2013
062014;6;2;2014
062015;6;2;2015
062016;6;2;2016
062017;6;2;2017
062018;6;2;2018
062019;6;2;2019
062020;6;2;2020
072004;7;3;2004
072005;7;3;2005
072006;7;3;2006
072007;7;3;2007
072008;7;3;2008
072009;7;3;2009
072010;7;3;2010
072011;7;3;2011
072012;7;3;2012
072013;7;3;2013
072014;7;3;2014
072015;7;3;2015
072016;7;3;2016
072017;7;3;2017
072018;7;3;2018
072019;7;3;2019
072020;7;3;2020
082004;8;3;2004
082005;8;3;2005
082006;8;3;2006
082007;8;3;2007
082008;8;3;2008
082009;8;3;2009
082010;8;3;2010
082011;8;3;2011
082012;8;3;2012
082013;8;3;2013
082014;8;3;2014
082015;8;3;2015
082016;8;3;2016
082017;8;3;2017
082018;8;3;2018
082019;8;3;2019
082020;8;3;2020
092004;9;3;2004
092005;9;3;2005
092006;9;3;2006
092007;9;3;2007
092008;9;3;2008
092009;9;3;2009
092010;9;3;2010
092011;9;3;2011
092012;9;3;2012
092013;9;3;2013
092014;9;3;2014
092015;9;3;2015
092016;9;3;2016
092017;9;3;2017
092018;9;3;2018
092019;9;3;2019
092020;9;3;2020
102004;10;4;2004
102005;10;4;2005
102006;10;4;2006
102007;10;4;2007
102008;10;4;2008
102009;10;4;2009
102010;10;4;2010
102011;10;4;2011
102012;10;4;2012
102013;10;4;2013
102014;10;4;2014
102015;10;4;2015
102016;10;4;2016
102017;10;4;2017
102018;10;4;2018
102019;10;4;2019
102020;10;4;2020
112004;11;4;2004
112005;11;4;2005
112006;11;4;2006
112007;11;4;2007
112008;11;4;2008
112009;11;4;2009
112010;11;4;2010
112011;11;4;2011
112012;11;4;2012
112013;11;4;2013
112014;11;4;2014
112015;11;4;2015
112016;11;4;2016
112017;11;4;2017
112018;11;4;2018
112019;11;4;2019
112020;11;4;2020
122004;12;4;2004
122005;12;4;2005
122006;12;4;2006
122007;12;4;2007
122008;12;4;2008
122009;12;4;2009
122010;12;4;2010
122011;12;4;2011
122012;12;4;2012
122013;12;4;2013
122014;12;4;2014
122015;12;4;2015
122016;12;4;2016
122017;12;4;2017
122018;12;4;2018
122019;12;4;2019
122020;12;4;2020
